name,model,brand,price,elabel,bodytype,length,height,width,weighttotal,emissionsco2,modeldate,fueltype,numberofdoors,numberofforwardgears,seatingcapacity,drivewheelconfiguration,fuelcapacity,fuelconsumption,speed,payload,veenginetype,veenginedisplacement,veenginepower,Buyer,Payment_Method,Price_at_Order,Order_Date
Renault Megane Estate TCe 180 GT,Renault Megane Estate,Renault,27.99,G,stationwagon,4559,1469,1804,1366,178 g/km,2010,petrol,5,6,5,front,60,7.7,225,518,dohc,1998,132,Melissa Ray,Cash,32.28,5/31/2021
Nissan Almera 1.8 Acenta S,Nissan Almera,Nissan,20.24,G,hatchback,4197,1448,1706,1153,187 g/km,2004,petrol,3,4,5,front,60,7.8,176,582,dohc,1769,85,Adam Thompson,Cash,20.04,8/14/2022
Smart fortwo coupe base 45kW,Smart fortwo coupe,Smart,8.795,D,hatchback,2695,1542,1559,725,112 g/km,2007,petrol,3,5,2,rear,33,4.7,145,295,dohc,999,45,Ariel Morris,Bank Transfer,9.69,9/3/2021
Volkswagen Jetta 1.6 TDI BMT Executive Line Comfort,Volkswagen Jetta,Volkswagen,31.99,E,sedan,4644,1482,1778,1315,113 g/km,2012,diesel,4,7,5,front,55,4.3,190,605,dohc,1598,77,Jessica Sharp,Credit Card,36.39,4/30/2024
Seat Ibiza 1.6i S,Seat Ibiza,Seat,13.157,G,hatchback,3853,1422,1640,950,179 g/km,1997,petrol,3,5,5,front,45,7.5,167,485,ohc,1598,55,Samantha Garrett,Credit Card,15.65,3/13/2021
Land Rover Range Rover Evoque 2.2 Sd4 4WD Dynamic,Land Rover Range Rover Evoque,Land Rover,61.7,G,suv/crossover,4365,1635,1895,1635,149 g/km,2013,diesel,5,6,5,front+rear,60,5.7,200,715,dohc,2179,140,Michael Garcia,Cash,66.99,7/2/2020
Lexus LS 600h L 25th Edition,Lexus LS,Lexus,164.99,E,sedan,5210,1480,1875,2265,199 g/km,2015,petrol,4,6,5,front+rear,84,8.6,250,530,dohc,4969,327,Anna Hernandez,Cash,197.15,1/24/2019
Skoda Octavia Combi 1.4 TSI G-TEC Greentech Ambition Business,Skoda Octavia Combi,Skoda,26.2,A,stationwagon,4667,1461,1814,1316,96 g/km,2017,aardgas,5,6,5,front,15,3.5,193,549,ohc,1395,81,Gina Mitchell,Bank Transfer,24.72,1/28/2022
Honda Prelude 2.0 EX,Honda Prelude,Honda,19.78,N.A.,coupe,4510,1295,1695,1065,187 g/km,1987,petrol,2,5,4,front,60,9.1,186,495,ohc,1958,80,Stacey James,Cash,19.74,6/28/2025
Mercedes A 180 d BlueEFFICIENCY Prestige,Mercedes-Benz A-class,Mercedes,37.269,C,hatchback,4299,1433,1780,1285,89 g/km,2015,diesel,5,6,5,front,50,3.5,190,565,dohc,1461,80,Trevor Wilson,Cash,42.13,5/13/2023
